UE1_throughput_lag1,UE1_throughput_lag2,UE1_throughput_lag3,UE1-Jitter,UE1-CQI
0.2710889051371625,0.025794134373222845,0.22151813036531534,0.43099658728359813,0.7333333333333333
0.4551818452622742,0.2710889051371625,0.025794134373222845,0.50256974356023,1.0
0.6783925041297695,0.4551818452622742,0.2710889051371625,0.366017784050479,0.8
0.4427248354862296,0.6783925041297695,0.4551818452622742,0.4817590325339837,0.8
0.3170850597124055,0.4427248354862296,0.6783925041297695,0.5343588980577262,1.0
0.007677309285888374,0.3170850597124055,0.4427248354862296,0.5408086341340252,0.8
0.028488639748693367,0.007677309285888374,0.3170850597124055,0.5901580470315749,0.8
0.09639288325615403,0.028488639748693367,0.007677309285888374,0.40731852445479516,0.7333333333333333
0.1245430173044114,0.09639288325615403,0.028488639748693367,0.5855546018983232,0.8666666666666667
0.02901670864137352,0.1245430173044114,0.09639288325615403,0.5688464944157623,1.0
0.06973217428981504,0.02901670864137352,0.1245430173044114,0.47425832891105163,0.4666666666666667
0.092574538955236,0.06973217428981504,0.02901670864137352,0.2548769385636428,0.6
0.3003087171987976,0.092574538955236,0.06973217428981504,0.5451598358017884,0.5333333333333333
0.18013919354401928,0.3003087171987976,0.092574538955236,0.3636606969431553,0.9333333333333333
0.2623825385219487,0.18013919354401928,0.3003087171987976,0.5060176432331974,0.9333333333333333
0.15508977171175561,0.2623825385219487,0.18013919354401928,0.4975181741143962,0.8
0.2719013188182089,0.15508977171175561,0.2623825385219487,0.1378744870287385,0.8
0.11468573130771521,0.2719013188182089,0.15508977171175561,0.5025573981478285,0.6666666666666666
0.5698811167980069,0.11468573130771521,0.2719013188182089,0.4556616352891004,0.6
0.47438188859100383,0.5698811167980069,0.11468573130771521,0.4949270118409045,1.0
0.23298670349608686,0.47438188859100383,0.5698811167980069,0.5063520003540325,0.8666666666666667
0.3770141089175942,0.23298670349608686,0.47438188859100383,0.474585618658941,0.6666666666666666
0.38695263628239496,0.3770141089175942,0.23298670349608686,0.39120581565371204,0.8666666666666667
0.3848809813957267,0.38695263628239496,0.3770141089175942,0.4344435324651226,0.8
0.4633195223007555,0.3848809813957267,0.38695263628239496,0.2609669684838142,0.7333333333333333
0.4204917810815934,0.4633195223007555,0.3848809813957267,0.12037687623888053,0.9333333333333333
0.3849486825358139,0.4204917810815934,0.4633195223007555,0.2230799712486286,0.8
0.31793809407750423,0.3849486825358139,0.4204917810815934,0.48348531607946865,0.6666666666666666
0.8528448019064641,0.31793809407750423,0.3849486825358139,0.4453323853771093,0.6666666666666666
0.6650689197606088,0.8528448019064641,0.31793809407750423,0.05989156682638884,0.7333333333333333
0.4685460503154873,0.6650689197606088,0.8528448019064641,0.34481222632119524,0.4
0.7276383134291982,0.4685460503154873,0.6650689197606088,0.10435271791764257,0.4
0.5719256912286402,0.7276383134291982,0.4685460503154873,0.18387513552594953,0.7333333333333333
0.41058033417282747,0.5719256912286402,0.7276383134291982,0.5518404125141952,0.7333333333333333
0.15129850786687246,0.41058033417282747,0.5719256912286402,0.08111271004939728,0.5333333333333333
0.14511062366290248,0.15129850786687246,0.41058033417282747,0.32028481703958,0.6666666666666666
0.23091504860941858,0.14511062366290248,0.15129850786687246,0.5145945922691719,0.6666666666666666
0.43330083678609144,0.23091504860941858,0.14511062366290248,0.30179379681073415,0.7333333333333333
0.35609445663064965,0.43330083678609144,0.23091504860941858,0.5851024279093634,0.4
0.11329108782191892,0.35609445663064965,0.43330083678609144,0.3942871227117068,0.4
0.15499499011563353,0.11329108782191892,0.35609445663064965,0.22243405921924467,0.4666666666666667
0.04089148861266824,0.15499499011563353,0.11329108782191892,0.340294572554594,0.26666666666666666
0.16192758686056272,0.04089148861266824,0.15499499011563353,0.5472709868275634,0.6666666666666666
0.15454816259105802,0.16192758686056272,0.04089148861266824,0.3399897218800338,0.4666666666666667
0.33976494164161725,0.15454816259105802,0.16192758686056272,0.6048285418431428,0.5333333333333333
0.2490860346088228,0.33976494164161725,0.15454816259105802,0.4781399143080117,0.13333333333333333
0.16585425298562026,0.2490860346088228,0.33976494164161725,0.2557924356862513,0.6
0.4145340807539199,0.16585425298562026,0.2490860346088228,0.7262263869380321,0.6
0.3570964335039402,0.4145340807539199,0.16585425298562026,0.44569167514367214,0.5333333333333333
0.20394291439867845,0.3570964335039402,0.4145340807539199,0.265779284794938,0.5333333333333333
0.4872721856636066,0.20394291439867845,0.3570964335039402,0.6492950635904728,0.26666666666666666
0.29517697078018795,0.4872721856636066,0.20394291439867845,0.5149316829127698,0.4666666666666667
0.2030763398055623,0.29517697078018795,0.4872721856636066,0.46053427552423637,0.4
0.03318709887074498,0.2030763398055623,0.29517697078018795,0.19788558218761276,0.4666666666666667
0.3456007799171338,0.03318709887074498,0.2030763398055623,0.4457623683396229,0.6
0.20960272970996832,0.3456007799171338,0.03318709887074498,0.318123077703173,0.7333333333333333
0.2167113494191242,0.20960272970996832,0.3456007799171338,0.35319246122920356,0.3333333333333333
0.22423971619682076,0.2167113494191242,0.20960272970996832,0.4990164397447769,0.6
0.14605843962412327,0.22423971619682076,0.2167113494191242,0.23143004107499096,0.8
0.06445148536301351,0.14605843962412327,0.22423971619682076,0.09729041701412197,0.8666666666666667
0.16951011455032902,0.06445148536301351,0.14605843962412327,0.21216927193243598,0.8
0.22747583069298885,0.16951011455032902,0.06445148536301351,0.37534316827076775,0.7333333333333333
0.12948520053077694,0.22747583069298885,0.16951011455032902,0.3780138427207338,1.0
0.11640534026593008,0.12948520053077694,0.22747583069298885,0.48224851372742644,0.5333333333333333
0.2804722831532483,0.11640534026593008,0.12948520053077694,0.1687298570308558,0.6
0.2934573618219731,0.2804722831532483,0.11640534026593008,0.47454390811682334,0.4
0.5365586156470875,0.2934573618219731,0.2804722831532483,0.6030781110429596,0.4666666666666667
0.30980041703902295,0.5365586156470875,0.2934573618219731,0.21602207572773136,0.4666666666666667
0.30202832615701247,0.30980041703902295,0.5365586156470875,0.41540669185199275,0.7333333333333333
0.12404202886776614,0.30202832615701247,0.30980041703902295,0.43113477302929265,0.6
0.17889349256641482,0.12404202886776614,0.30202832615701247,0.24749229747391185,0.3333333333333333
0.3785712351395997,0.17889349256641482,0.12404202886776614,0.28534999011045326,0.7333333333333333
0.40921277114306603,0.3785712351395997,0.17889349256641482,0.0303599810051575,0.7333333333333333
0.4436591112194329,0.40921277114306603,0.3785712351395997,0.3168050692351602,0.2
0.14924039320822163,0.4436591112194329,0.40921277114306603,0.3397407993857695,0.5333333333333333
0.36371760500446826,0.14924039320822163,0.4436591112194329,0.4122960559284337,0.8
0.34347496411839573,0.36371760500446826,0.14924039320822163,0.18591645511474486,0.3333333333333333
0.32801202372247945,0.34347496411839573,0.36371760500446826,0.5402199932897768,0.6
0.2570747691391123,0.32801202372247945,0.34347496411839573,0.370045865358537,0.7333333333333333
0.31690903674817883,0.2570747691391123,0.32801202372247945,0.348006729214689,0.2
0.1684810572210036,0.31690903674817883,0.2570747691391123,0.2912185666988197,0.5333333333333333
0.3488910553253717,0.1684810572210036,0.31690903674817883,0.09541921650135002,0.4
0.39021583123459797,0.3488910553253717,0.1684810572210036,0.26537274924189974,0.7333333333333333
0.3545779510926964,0.39021583123459797,0.3488910553253717,0.27775622248222037,0.5333333333333333
0.2732688818479703,0.3545779510926964,0.39021583123459797,0.23795297638532423,0.6
0.12513878733717876,0.2732688818479703,0.3545779510926964,0.22601037497237816,0.4666666666666667
0.20965689062203807,0.12513878733717876,0.2732688818479703,0.4433404045025399,0.3333333333333333
0.1290925339182712,0.20965689062203807,0.12513878733717876,0.6241043394131538,0.4
0.09935819319197335,0.1290925339182712,0.20965689062203807,0.0,0.4666666666666667
0.18225146911473988,0.09935819319197335,0.1290925339182712,0.20957776571582074,0.6666666666666666
0.16830503425677687,0.18225146911473988,0.09935819319197335,0.14358166846684042,0.6666666666666666
0.16711349419124216,0.16830503425677687,0.18225146911473988,0.3323828746540689,0.5333333333333333
0.24148996669103906,0.16711349419124216,0.16830503425677687,0.0,0.4
0.006038941695778156,0.24148996669103906,0.16711349419124216,0.0,0.6
0.0,0.006038941695778156,0.24148996669103906,0.0,0.6
0.0,0.0,0.006038941695778156,0.0,0.6666666666666666
0.0,0.0,0.0,0.0,0.3333333333333333
0.0,0.0,0.0,0.0,0.6666666666666666
0.0,0.0,0.0,0.0,0.5333333333333333
0.0,0.0,0.0,0.0,0.3333333333333333
0.0,0.0,0.0,0.0,0.6
0.0,0.0,0.0,0.0,0.4666666666666667
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.3333333333333333
0.0,0.0,0.0,0.0,0.2
0.0,0.0,0.0,0.0,0.7333333333333333
0.0,0.0,0.0,0.0,0.4666666666666667
0.0,0.0,0.0,0.0,0.3333333333333333
0.0,0.0,0.0,0.0,0.4
0.0,0.0,0.0,0.0,0.4666666666666667
0.0,0.0,0.0,0.0,0.3333333333333333
0.0,0.0,0.0,0.0,0.4
0.0,0.0,0.0,0.0,0.4
